epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,48273.3,1.15266,0.83429,1.18757,0.63766,0.56055,0.59275,0.38854,1.07649,0.75739,1.1398,0.005842,0.005842,0.005842
44,49830.2,1.15508,0.8318,1.18351,0.65008,0.56421,0.59992,0.39617,1.07144,0.75146,1.13604,0.005743,0.005743,0.005743
45,51655.5,1.14629,0.82233,1.17846,0.63223,0.58153,0.60201,0.3977,1.07697,0.75066,1.13707,0.005644,0.005644,0.005644
46,53172,1.14486,0.82295,1.17911,0.64299,0.5733,0.60109,0.39609,1.07112,0.74727,1.13432,0.005545,0.005545,0.005545
47,54585.2,1.13676,0.81354,1.17375,0.69433,0.53592,0.60086,0.39478,1.07007,0.74671,1.13188,0.005446,0.005446,0.005446
48,56130,1.13804,0.81456,1.17432,0.65939,0.57547,0.59733,0.39655,1.0712,0.74363,1.13398,0.005347,0.005347,0.005347
49,58669.6,1.13568,0.81193,1.17022,0.68009,0.54496,0.59834,0.39335,1.06803,0.74287,1.13057,0.005248,0.005248,0.005248
50,61062.8,1.13073,0.80827,1.16999,0.68704,0.5621,0.60373,0.39832,1.06631,0.74291,1.12946,0.005149,0.005149,0.005149
51,62931.5,1.12557,0.80184,1.16851,0.68028,0.55699,0.6021,0.39628,1.06461,0.73953,1.12738,0.00505,0.00505,0.00505
52,64819.1,1.13068,0.80249,1.1657,0.69105,0.52831,0.60146,0.39793,1.06087,0.73454,1.12511,0.004951,0.004951,0.004951
53,66692.5,1.12344,0.8037,1.16276,0.67593,0.56692,0.60905,0.40057,1.06541,0.73553,1.12734,0.004852,0.004852,0.004852
54,68555,1.11583,0.79234,1.15943,0.70595,0.56196,0.6153,0.40641,1.06218,0.73559,1.12636,0.004753,0.004753,0.004753
55,70131.4,1.12098,0.79123,1.15884,0.69201,0.58143,0.61293,0.4043,1.06178,0.73134,1.12473,0.004654,0.004654,0.004654
56,71516.5,1.11424,0.78677,1.15375,0.64635,0.58107,0.61084,0.40277,1.05689,0.7293,1.12098,0.004555,0.004555,0.004555
57,72878.5,1.11592,0.7828,1.15524,0.65568,0.57497,0.61301,0.40894,1.05613,0.72685,1.11892,0.004456,0.004456,0.004456
58,74236.7,1.11439,0.78499,1.15229,0.69377,0.57665,0.61477,0.41007,1.05513,0.72641,1.11852,0.004357,0.004357,0.004357
59,75598.2,1.10973,0.78182,1.14992,0.68454,0.56802,0.61111,0.40617,1.05881,0.72526,1.11984,0.004258,0.004258,0.004258
60,76956,1.11013,0.77731,1.14858,0.67144,0.56291,0.60975,0.40479,1.05797,0.72662,1.11883,0.004159,0.004159,0.004159
61,78316.3,1.10868,0.77804,1.14827,0.67371,0.56463,0.61557,0.40992,1.05685,0.72606,1.11865,0.00406,0.00406,0.00406
62,79674.8,1.10567,0.77295,1.14618,0.67781,0.56713,0.61471,0.40942,1.05589,0.72321,1.1177,0.003961,0.003961,0.003961
63,81035.2,1.10729,0.77417,1.14427,0.66909,0.56208,0.61238,0.4058,1.05557,0.72089,1.11682,0.003862,0.003862,0.003862
64,82394.1,1.10381,0.77143,1.14429,0.68588,0.56498,0.61579,0.40783,1.05496,0.72141,1.11675,0.003763,0.003763,0.003763
65,83766.8,1.09753,0.76733,1.14421,0.69876,0.56617,0.61625,0.41051,1.05165,0.71858,1.11483,0.003664,0.003664,0.003664
66,85128.5,1.09475,0.75964,1.13642,0.69065,0.57089,0.6161,0.41021,1.04984,0.71689,1.113,0.003565,0.003565,0.003565
67,86526.1,1.0932,0.75799,1.13573,0.67796,0.57718,0.60929,0.40519,1.04933,0.71667,1.11251,0.003466,0.003466,0.003466
68,87884.3,1.08784,0.75423,1.13287,0.67784,0.57252,0.60959,0.40757,1.05003,0.7156,1.11201,0.003367,0.003367,0.003367
69,89491.7,1.0926,0.757,1.13687,0.67699,0.57431,0.61068,0.4083,1.0488,0.71544,1.11085,0.003268,0.003268,0.003268
70,90888.7,1.08635,0.74921,1.13226,0.69423,0.56014,0.6064,0.40487,1.04801,0.71486,1.11031,0.003169,0.003169,0.003169
71,92255,1.08474,0.74975,1.12824,0.69088,0.56863,0.6111,0.40794,1.04722,0.71427,1.11045,0.00307,0.00307,0.00307
72,93622.3,1.08212,0.74491,1.1274,0.69162,0.56623,0.60958,0.40582,1.04745,0.71419,1.10999,0.002971,0.002971,0.002971
73,94983.7,1.08065,0.74341,1.12731,0.69402,0.57404,0.61313,0.41034,1.0471,0.71383,1.1092,0.002872,0.002872,0.002872
74,96346.6,1.07971,0.74193,1.12859,0.71169,0.56415,0.61712,0.41452,1.04789,0.71473,1.10905,0.002773,0.002773,0.002773
75,97705.9,1.07612,0.74015,1.1237,0.72679,0.55625,0.61742,0.41331,1.04763,0.71301,1.10858,0.002674,0.002674,0.002674
76,99070.4,1.074,0.7373,1.12199,0.7307,0.54415,0.61566,0.41252,1.04787,0.71231,1.10878,0.002575,0.002575,0.002575
77,100487,1.07155,0.7353,1.12262,0.73253,0.54504,0.61509,0.41224,1.04748,0.71214,1.10892,0.002476,0.002476,0.002476
78,101850,1.06742,0.731,1.12009,0.70343,0.55411,0.61652,0.41196,1.04653,0.71036,1.10837,0.002377,0.002377,0.002377
79,103214,1.06645,0.72848,1.11988,0.72226,0.54875,0.61612,0.41204,1.04578,0.71025,1.10761,0.002278,0.002278,0.002278
80,104577,1.06692,0.73049,1.11894,0.71935,0.55134,0.61758,0.41485,1.04604,0.71018,1.10727,0.002179,0.002179,0.002179
81,105939,1.0656,0.72954,1.11673,0.73329,0.55156,0.61959,0.41541,1.04529,0.71015,1.1069,0.00208,0.00208,0.00208
82,107373,1.06016,0.72198,1.11115,0.71678,0.55387,0.62013,0.41436,1.04538,0.70931,1.10679,0.001981,0.001981,0.001981
83,108787,1.06111,0.72202,1.11315,0.70139,0.56463,0.62022,0.41432,1.04522,0.70846,1.10664,0.001882,0.001882,0.001882
84,110147,1.05767,0.71768,1.11168,0.70231,0.56882,0.62013,0.41309,1.0454,0.70776,1.10629,0.001783,0.001783,0.001783
85,111508,1.06037,0.71952,1.10942,0.71359,0.55941,0.61864,0.41284,1.04613,0.70816,1.10665,0.001684,0.001684,0.001684
86,112867,1.05322,0.71403,1.10856,0.71779,0.56269,0.61995,0.41314,1.0461,0.70753,1.10662,0.001585,0.001585,0.001585
87,114226,1.05592,0.71283,1.10877,0.729,0.56035,0.61999,0.4131,1.04594,0.70615,1.1066,0.001486,0.001486,0.001486
88,115606,1.05045,0.71102,1.10581,0.73012,0.55298,0.6199,0.41372,1.0458,0.70628,1.10635,0.001387,0.001387,0.001387
89,116965,1.04643,0.70596,1.10297,0.73158,0.54756,0.61971,0.41443,1.04543,0.70587,1.10614,0.001288,0.001288,0.001288
90,118333,1.04449,0.70373,1.10268,0.73796,0.54668,0.61962,0.41429,1.0457,0.70644,1.10635,0.001189,0.001189,0.001189
91,119572,1.02976,0.67889,1.10592,0.72558,0.54897,0.62051,0.41523,1.04585,0.70636,1.10633,0.00109,0.00109,0.00109
92,120815,1.02185,0.6726,1.10052,0.72433,0.55369,0.61975,0.41525,1.04601,0.70647,1.10632,0.000991,0.000991,0.000991
93,122057,1.01909,0.66996,1.09999,0.72358,0.55501,0.61922,0.41452,1.04569,0.70633,1.1063,0.000892,0.000892,0.000892
94,123299,1.0155,0.666,1.09796,0.72541,0.55371,0.61846,0.41497,1.04602,0.70632,1.10659,0.000793,0.000793,0.000793
95,124539,1.01543,0.66538,1.09786,0.72699,0.55423,0.61817,0.41451,1.04666,0.70668,1.1068,0.000694,0.000694,0.000694
96,125777,1.01318,0.6603,1.09569,0.72199,0.5555,0.61795,0.41391,1.04643,0.70693,1.10663,0.000595,0.000595,0.000595
97,127016,1.00915,0.65905,1.09314,0.72475,0.55424,0.61793,0.41359,1.04625,0.70713,1.10671,0.000496,0.000496,0.000496
98,128260,1.00848,0.6564,1.09412,0.72472,0.5553,0.61748,0.41403,1.04652,0.70753,1.10681,0.000397,0.000397,0.000397
99,129496,1.00683,0.65479,1.09179,0.71506,0.55783,0.61685,0.41406,1.04704,0.70808,1.10692,0.000298,0.000298,0.000298
100,130739,1.0043,0.65157,1.08953,0.71892,0.55659,0.61635,0.41371,1.047,0.70845,1.10691,0.000199,0.000199,0.000199
