epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,54675.9,1.1904,0.79843,1.19413,0.79729,0.56092,0.70573,0.42664,1.14896,0.74476,1.18915,0.005842,0.005842,0.005842
44,56120.8,1.1874,0.79801,1.1918,0.79468,0.58413,0.65845,0.41943,1.14373,0.73226,1.1839,0.005743,0.005743,0.005743
45,57563.2,1.17862,0.78689,1.18465,0.82262,0.56754,0.69436,0.42166,1.14162,0.73214,1.18249,0.005644,0.005644,0.005644
46,59011.7,1.18103,0.78922,1.18471,0.80794,0.58266,0.6841,0.4269,1.13944,0.73122,1.17899,0.005545,0.005545,0.005545
47,60455.4,1.18366,0.78715,1.18441,0.79455,0.58243,0.71573,0.42414,1.13704,0.72651,1.17614,0.005446,0.005446,0.005446
48,61900.7,1.17643,0.7858,1.18167,0.80922,0.5965,0.72441,0.45273,1.13409,0.7225,1.17387,0.005347,0.005347,0.005347
49,63349.8,1.16929,0.77481,1.17865,0.80973,0.58504,0.72149,0.43763,1.1343,0.72166,1.17471,0.005248,0.005248,0.005248
50,64799.7,1.1694,0.7767,1.17707,0.80242,0.58165,0.68694,0.43131,1.13149,0.71925,1.1716,0.005149,0.005149,0.005149
51,66241.5,1.16791,0.77677,1.17619,0.81415,0.58246,0.70213,0.44171,1.13386,0.71896,1.17244,0.00505,0.00505,0.00505
52,67688.2,1.16366,0.7722,1.17135,0.80931,0.59056,0.79915,0.47093,1.12891,0.7148,1.16649,0.004951,0.004951,0.004951
53,69139.7,1.16059,0.76509,1.16711,0.81683,0.58901,0.80116,0.45727,1.12895,0.71343,1.1671,0.004852,0.004852,0.004852
54,70592.4,1.16141,0.76411,1.16685,0.81381,0.59062,0.80444,0.47396,1.12809,0.71032,1.16547,0.004753,0.004753,0.004753
55,72047.8,1.15771,0.75941,1.16536,0.82687,0.58495,0.80811,0.47129,1.1269,0.70646,1.16609,0.004654,0.004654,0.004654
56,73495.2,1.15809,0.75836,1.16449,0.80993,0.60519,0.80817,0.50607,1.12624,0.70875,1.16444,0.004555,0.004555,0.004555
57,74949.4,1.15162,0.75504,1.16217,0.8303,0.58143,0.80826,0.45912,1.12255,0.7049,1.16214,0.004456,0.004456,0.004456
58,76402.4,1.15023,0.74836,1.15955,0.82202,0.5843,0.80545,0.491,1.1228,0.70234,1.16169,0.004357,0.004357,0.004357
59,77859.8,1.14923,0.74884,1.15952,0.83514,0.58563,0.73549,0.46293,1.12172,0.69888,1.15883,0.004258,0.004258,0.004258
60,79428.2,1.14535,0.74622,1.15426,0.79645,0.59343,0.80402,0.49065,1.11886,0.69946,1.15705,0.004159,0.004159,0.004159
61,80988.8,1.14289,0.74021,1.15145,0.81967,0.5886,0.80471,0.49305,1.11972,0.69755,1.15709,0.00406,0.00406,0.00406
62,82493.9,1.1426,0.74195,1.15314,0.80939,0.6044,0.80917,0.49639,1.11842,0.69698,1.15602,0.003961,0.003961,0.003961
63,84017.3,1.13709,0.73979,1.15022,0.80736,0.61881,0.812,0.48411,1.11737,0.69652,1.15581,0.003862,0.003862,0.003862
