epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,37184.3,0.86435,0.76542,1.15096,0.67086,0.65595,0.69065,0.5275,0.77412,0.69215,1.1132,0.005842,0.005842,0.005842
44,38126,0.86366,0.76185,1.15081,0.66898,0.65744,0.69296,0.52799,0.772,0.68596,1.11129,0.005743,0.005743,0.005743
45,39069.4,0.85473,0.75967,1.14559,0.6553,0.64824,0.69048,0.52996,0.77035,0.68373,1.10846,0.005644,0.005644,0.005644
46,40012.7,0.85135,0.75436,1.14065,0.67657,0.64065,0.69245,0.53057,0.7703,0.68301,1.10913,0.005545,0.005545,0.005545
47,40955.4,0.85298,0.74945,1.1434,0.66302,0.66841,0.69844,0.53693,0.76773,0.68119,1.10548,0.005446,0.005446,0.005446
48,41896.2,0.85085,0.74892,1.13734,0.66888,0.67868,0.69682,0.53252,0.76543,0.6794,1.10333,0.005347,0.005347,0.005347
49,42841.2,0.84533,0.74575,1.13443,0.66512,0.67009,0.69577,0.53084,0.76467,0.67812,1.1024,0.005248,0.005248,0.005248
50,43789.1,0.84448,0.74434,1.13506,0.66575,0.67399,0.69487,0.53488,0.76233,0.67295,1.10118,0.005149,0.005149,0.005149
51,44740.7,0.84003,0.7358,1.1303,0.69711,0.66104,0.70841,0.54649,0.75931,0.67023,1.09733,0.00505,0.00505,0.00505
52,45692.6,0.83868,0.73635,1.12923,0.69548,0.65492,0.70394,0.5425,0.75853,0.66786,1.09817,0.004951,0.004951,0.004951
53,46639.8,0.83904,0.73326,1.12963,0.71059,0.64134,0.6993,0.53925,0.75851,0.66852,1.09774,0.004852,0.004852,0.004852
54,47582.6,0.8378,0.73689,1.12893,0.68417,0.65332,0.70809,0.54381,0.75977,0.66624,1.09752,0.004753,0.004753,0.004753
55,48525.2,0.83228,0.72793,1.12231,0.6814,0.66467,0.70142,0.5401,0.75464,0.66325,1.09329,0.004654,0.004654,0.004654
56,49476.9,0.82922,0.72731,1.12184,0.67181,0.67176,0.70934,0.54559,0.75499,0.66284,1.09382,0.004555,0.004555,0.004555
57,50428.2,0.82817,0.72509,1.12175,0.67174,0.66084,0.71079,0.54797,0.75361,0.66064,1.0933,0.004456,0.004456,0.004456
58,51377.2,0.82522,0.72202,1.11843,0.70189,0.64384,0.71051,0.55081,0.75341,0.65899,1.09354,0.004357,0.004357,0.004357
59,52325.9,0.82017,0.7162,1.11457,0.70162,0.65953,0.70906,0.54853,0.75144,0.65889,1.0888,0.004258,0.004258,0.004258
60,53274.2,0.81861,0.7158,1.11407,0.694,0.66496,0.7052,0.5445,0.75132,0.65777,1.08943,0.004159,0.004159,0.004159
61,54228.8,0.82122,0.71586,1.11108,0.68163,0.67299,0.70117,0.54411,0.74798,0.65762,1.08778,0.00406,0.00406,0.00406
62,55180.3,0.81582,0.70813,1.10853,0.6848,0.65748,0.70392,0.54796,0.74694,0.6561,1.08695,0.003961,0.003961,0.003961
63,56128.3,0.81387,0.70485,1.10633,0.71497,0.66086,0.71384,0.555,0.74776,0.65179,1.08576,0.003862,0.003862,0.003862
64,57069.6,0.81391,0.70887,1.1082,0.67924,0.66501,0.71501,0.55684,0.74618,0.65146,1.08365,0.003763,0.003763,0.003763
