epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,48831,0.66279,0.59991,1.03825,0.50268,0.359,0.37604,0.22891,1.37886,1.1309,1.52011,0.005842,0.005842,0.005842
44,50237.7,0.65901,0.59585,1.03788,0.50863,0.36016,0.37065,0.22628,1.38044,1.14019,1.51347,0.005743,0.005743,0.005743
45,51647.2,0.66025,0.59245,1.03566,0.51527,0.34985,0.36948,0.22671,1.38526,1.12489,1.52073,0.005644,0.005644,0.005644
46,53053.9,0.65347,0.58849,1.03398,0.51666,0.34812,0.37386,0.22953,1.38475,1.14503,1.52236,0.005545,0.005545,0.005545
47,54459.4,0.65147,0.58064,1.03036,0.51168,0.35356,0.37689,0.23286,1.38312,1.12736,1.51672,0.005446,0.005446,0.005446
48,55871.3,0.64897,0.58065,1.02975,0.50409,0.35544,0.37437,0.22983,1.38044,1.14228,1.51801,0.005347,0.005347,0.005347
49,57277.1,0.64455,0.57771,1.03151,0.52939,0.34869,0.37415,0.22795,1.3818,1.13435,1.52508,0.005248,0.005248,0.005248
50,58681.9,0.64442,0.572,1.02595,0.49656,0.36201,0.3775,0.2325,1.37802,1.14047,1.52021,0.005149,0.005149,0.005149
51,60086.2,0.64108,0.56995,1.02444,0.4801,0.37309,0.37656,0.23207,1.38146,1.13135,1.52574,0.00505,0.00505,0.00505
52,61479,0.6391,0.56648,1.02542,0.50551,0.35734,0.37267,0.22917,1.38472,1.1733,1.52353,0.004951,0.004951,0.004951
53,62880.4,0.63655,0.56301,1.0209,0.54105,0.33887,0.37852,0.2312,1.38181,1.1422,1.527,0.004852,0.004852,0.004852
54,64294.3,0.63146,0.56316,1.01896,0.50056,0.36512,0.38153,0.23345,1.37291,1.12301,1.52201,0.004753,0.004753,0.004753
55,65700.8,0.6286,0.55596,1.01663,0.52917,0.34648,0.37764,0.23241,1.38343,1.16517,1.52942,0.004654,0.004654,0.004654
56,67101.9,0.6288,0.55576,1.01864,0.51485,0.34644,0.37639,0.23308,1.38187,1.13774,1.52817,0.004555,0.004555,0.004555
57,68508.3,0.62459,0.54976,1.01581,0.50413,0.3599,0.37958,0.23535,1.37718,1.16376,1.52281,0.004456,0.004456,0.004456
58,69908.5,0.62285,0.54837,1.01218,0.51715,0.35214,0.37375,0.23268,1.38186,1.17143,1.52572,0.004357,0.004357,0.004357
59,71319.6,0.61797,0.5438,1.00796,0.51903,0.35014,0.37888,0.23517,1.37166,1.14968,1.51857,0.004258,0.004258,0.004258
60,72717.7,0.61824,0.54435,1.01129,0.50749,0.36053,0.3813,0.23545,1.37594,1.15607,1.52808,0.004159,0.004159,0.004159
61,74117.8,0.61175,0.53694,1.00417,0.50816,0.36222,0.37675,0.23311,1.37634,1.15674,1.5276,0.00406,0.00406,0.00406
62,75526.1,0.60937,0.53592,1.00292,0.51943,0.35468,0.3797,0.23623,1.37579,1.16015,1.52644,0.003961,0.003961,0.003961
63,77004.7,0.61145,0.53464,1.00496,0.51441,0.3628,0.37779,0.23499,1.37918,1.167,1.52988,0.003862,0.003862,0.003862
64,78425,0.60462,0.52746,1.00041,0.50206,0.36552,0.37966,0.23595,1.37869,1.16235,1.53311,0.003763,0.003763,0.003763
65,79794.1,0.60083,0.52676,0.99802,0.50565,0.35239,0.37641,0.23551,1.37578,1.16482,1.52799,0.003664,0.003664,0.003664
66,81314,0.60084,0.52455,0.99697,0.50188,0.36261,0.37718,0.23559,1.37805,1.17056,1.53121,0.003565,0.003565,0.003565
67,82489.1,0.60233,0.52269,0.99873,0.51132,0.35689,0.37973,0.23737,1.37506,1.15795,1.52963,0.003466,0.003466,0.003466
68,83912,0.59791,0.52016,0.99642,0.50162,0.37022,0.3799,0.23678,1.37713,1.18053,1.53359,0.003367,0.003367,0.003367
69,85524,0.59208,0.51528,0.99436,0.50349,0.36878,0.38006,0.23596,1.37427,1.17833,1.52953,0.003268,0.003268,0.003268
70,86978,0.59386,0.51547,0.99327,0.5306,0.3457,0.38079,0.23652,1.37615,1.18049,1.53193,0.003169,0.003169,0.003169
71,88476.9,0.59134,0.51311,0.99144,0.49684,0.36629,0.37939,0.23605,1.37485,1.17936,1.53299,0.00307,0.00307,0.00307
72,89813.2,0.58679,0.50695,0.98978,0.52522,0.34621,0.3801,0.23688,1.376,1.17974,1.53437,0.002971,0.002971,0.002971
73,91156.4,0.58483,0.50569,0.98952,0.49361,0.36648,0.38177,0.23824,1.37764,1.18987,1.53577,0.002872,0.002872,0.002872
74,92492.4,0.58109,0.50025,0.98474,0.48982,0.36668,0.38109,0.23844,1.37652,1.18868,1.53673,0.002773,0.002773,0.002773
75,93833.5,0.58164,0.49833,0.9864,0.50302,0.36347,0.38117,0.23755,1.3752,1.19293,1.53735,0.002674,0.002674,0.002674
76,95188.9,0.57922,0.49755,0.98454,0.52349,0.34564,0.37828,0.23686,1.3742,1.19613,1.53731,0.002575,0.002575,0.002575
77,96553.2,0.57707,0.49688,0.98186,0.50513,0.36191,0.38053,0.23739,1.37496,1.2001,1.5389,0.002476,0.002476,0.002476
78,97914.2,0.5762,0.49359,0.98164,0.54743,0.34002,0.38092,0.23771,1.37258,1.19525,1.53937,0.002377,0.002377,0.002377
79,99285.5,0.57171,0.48782,0.97882,0.50073,0.36485,0.37926,0.23709,1.37253,1.19917,1.539,0.002278,0.002278,0.002278
80,100652,0.57233,0.48886,0.98055,0.51351,0.35603,0.38041,0.23902,1.37484,1.20114,1.54223,0.002179,0.002179,0.002179
81,102012,0.56888,0.48671,0.97855,0.52147,0.34943,0.38118,0.23929,1.374,1.20507,1.54347,0.00208,0.00208,0.00208
82,103352,0.56668,0.48397,0.97598,0.52092,0.35389,0.38182,0.23939,1.3738,1.20388,1.54327,0.001981,0.001981,0.001981
83,104705,0.56272,0.47925,0.97228,0.54106,0.34683,0.38146,0.23944,1.3733,1.20716,1.54408,0.001882,0.001882,0.001882
84,106046,0.56127,0.47614,0.97298,0.52229,0.35088,0.38351,0.24038,1.37255,1.2,1.54605,0.001783,0.001783,0.001783
85,107408,0.55751,0.47161,0.96989,0.53336,0.35104,0.38326,0.23994,1.37539,1.2068,1.54987,0.001684,0.001684,0.001684
86,108775,0.55423,0.4693,0.96877,0.5495,0.34083,0.38084,0.23894,1.3747,1.20902,1.5501,0.001585,0.001585,0.001585
87,110151,0.5522,0.46701,0.97034,0.51588,0.35712,0.3797,0.23937,1.37401,1.21242,1.55027,0.001486,0.001486,0.001486
88,111467,0.55084,0.46495,0.96702,0.50449,0.36135,0.38053,0.23964,1.37363,1.21972,1.54967,0.001387,0.001387,0.001387
89,112698,0.55197,0.46546,0.96827,0.53488,0.34901,0.38348,0.23985,1.37355,1.22072,1.55113,0.001288,0.001288,0.001288
90,114154,0.54731,0.46104,0.96435,0.53752,0.34312,0.38074,0.23861,1.37386,1.22535,1.5531,0.001189,0.001189,0.001189
91,115288,0.4938,0.40881,0.93814,0.53481,0.34298,0.38061,0.23942,1.37434,1.2249,1.55723,0.00109,0.00109,0.00109
92,116546,0.48691,0.40405,0.93178,0.54361,0.33682,0.38052,0.24018,1.37551,1.23009,1.56104,0.000991,0.000991,0.000991
93,117759,0.48391,0.40077,0.9317,0.5425,0.33273,0.3788,0.23924,1.37614,1.23976,1.56387,0.000892,0.000892,0.000892
94,118900,0.48058,0.39432,0.93078,0.53103,0.34036,0.37897,0.23935,1.37646,1.24564,1.56572,0.000793,0.000793,0.000793
